지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),일조(hr),일사(MJ/m2),적설(cm),전운량(10분위)
106,동해,2023-01-01 00:00,2.4,,1.1,47,,,,0
106,동해,2023-01-01 01:00,2.4,,.3,49,,,,1
106,동해,2023-01-01 02:00,3.6,,3.2,45,,,,2
106,동해,2023-01-01 03:00,3.4,,3,44,,,,1
106,동해,2023-01-01 04:00,3.7,,2.6,43,,,,1
106,동해,2023-01-01 05:00,3.7,,3.2,45,,,,3
106,동해,2023-01-01 06:00,3,,1.2,46,,,,0
106,동해,2023-01-01 07:00,4,,2.5,43,,,,0
106,동해,2023-01-01 08:00,4.1,,2.5,39,0,,,1
106,동해,2023-01-01 09:00,5.2,,2.3,32,.9,,,2
106,동해,2023-01-01 10:00,6.2,,2.4,24,1,,,1
106,동해,2023-01-01 11:00,6.7,,4,23,1,,,0
106,동해,2023-01-01 12:00,8.1,,3.3,20,1,,,0
106,동해,2023-01-01 13:00,9.1,,3.4,17,1,,,0
106,동해,2023-01-01 14:00,9.8,,2.2,17,1,,,0
106,동해,2023-01-01 15:00,8.6,,3.8,18,1,,,2
106,동해,2023-01-01 16:00,7.7,,3.6,20,1,,,1
106,동해,2023-01-01 17:00,6.7,,4.1,20,.5,,,1
106,동해,2023-01-01 18:00,6.4,,3.5,18,0,,,0
106,동해,2023-01-01 19:00,6,,3.1,17,,,,0
106,동해,2023-01-01 20:00,4.8,,1.3,18,,,,3
106,동해,2023-01-01 21:00,4.7,,2,16,,,,1
106,동해,2023-01-01 22:00,4.2,,2.4,14,,,,3
106,동해,2023-01-01 23:00,3.5,,3,14,,,,4
106,동해,2023-01-02 00:00,3.1,,3.9,15,,,,5
106,동해,2023-01-02 01:00,2.2,,2.7,17,,,,2
106,동해,2023-01-02 02:00,1.8,,2.8,16,,,,2
106,동해,2023-01-02 03:00,1.3,,2.5,16,,,,3
106,동해,2023-01-02 04:00,.7,,2.3,16,,,,2
106,동해,2023-01-02 05:00,-.9,,1,22,,,,2
106,동해,2023-01-02 06:00,-.4,,2.1,20,,,,2
106,동해,2023-01-02 07:00,-1.3,,1.2,24,,,,2
106,동해,2023-01-02 08:00,-1,,.6,23,.1,,,5
106,동해,2023-01-02 09:00,.2,,.5,22,1,,,1
106,동해,2023-01-02 10:00,3.3,,.3,16,1,,,0
106,동해,2023-01-02 11:00,3.8,,2.6,13,1,,,0
106,동해,2023-01-02 12:00,4.6,,3.3,20,1,,,0
106,동해,2023-01-02 13:00,4.5,,3,22,1,,,0
106,동해,2023-01-02 14:00,4.4,,2,23,1,,,0
106,동해,2023-01-02 15:00,5,,1,26,1,,,0
106,동해,2023-01-02 16:00,4.4,,1,33,1,,,0
106,동해,2023-01-02 17:00,3,,.4,41,.5,,,0
106,동해,2023-01-02 18:00,2.5,,1.1,39,0,,,0
106,동해,2023-01-02 19:00,1.2,,.7,40,,,,0
106,동해,2023-01-02 20:00,1.2,,.9,28,,,,0
106,동해,2023-01-02 21:00,2.3,,1.2,21,,,,0
106,동해,2023-01-02 22:00,1.2,,1.2,26,,,,0
106,동해,2023-01-02 23:00,.7,,.8,25,,,,0
106,동해,2023-01-03 00:00,.8,,1.3,25,,,,0
106,동해,2023-01-03 01:00,1.5,,2.1,20,,,,0
106,동해,2023-01-03 02:00,1.2,,1.3,20,,,,1
106,동해,2023-01-03 03:00,1.1,,2.2,20,,,,0
106,동해,2023-01-03 04:00,.2,,2,25,,,,1
106,동해,2023-01-03 05:00,-1.3,,1.1,28,,,,0
106,동해,2023-01-03 06:00,-1.3,,1.4,27,,,,1
106,동해,2023-01-03 07:00,-.8,,1.5,25,,,,0
106,동해,2023-01-03 08:00,.1,,.7,21,.2,,,1
106,동해,2023-01-03 09:00,1.9,,.4,17,1,,,0
106,동해,2023-01-03 10:00,3.2,,3,14,1,,,0
106,동해,2023-01-03 11:00,5.1,,1.6,12,1,,,0
106,동해,2023-01-03 12:00,6.1,,1.4,11,1,,,0
106,동해,2023-01-03 13:00,6.7,,2.7,12,1,,,0
106,동해,2023-01-03 14:00,6.7,,2.8,12,1,,,0
106,동해,2023-01-03 15:00,6.1,,3.5,14,1,,,0
106,동해,2023-01-03 16:00,5.4,,4,14,1,,,0
106,동해,2023-01-03 17:00,3.4,,3.4,17,.5,,,0
106,동해,2023-01-03 18:00,2.9,,5.2,17,0,,,0
106,동해,2023-01-03 19:00,2.4,,3.8,18,,,,0
106,동해,2023-01-03 20:00,1.5,,5.1,20,,,,0
106,동해,2023-01-03 21:00,1.1,,3.8,21,,,,0
106,동해,2023-01-03 22:00,1.1,,4.8,21,,,,0
106,동해,2023-01-03 23:00,.7,,4.4,21,,,,1
106,동해,2023-01-04 00:00,.9,,3.9,19,,,,0
106,동해,2023-01-04 01:00,.5,,4,19,,,,0
106,동해,2023-01-04 02:00,-.1,,1,20,,,,0
106,동해,2023-01-04 03:00,-1,,1.2,23,,,,0
106,동해,2023-01-04 04:00,-.7,,.6,20,,,,0
106,동해,2023-01-04 05:00,-.7,,.3,18,,,,1
106,동해,2023-01-04 06:00,.4,,.6,14,,,,1
106,동해,2023-01-04 07:00,.5,,1.9,14,,,,1
106,동해,2023-01-04 08:00,.7,,.5,15,.2,,,1
106,동해,2023-01-04 09:00,2.4,,3.1,18,1,,,0
106,동해,2023-01-04 10:00,3.3,,2.9,16,1,,,1
106,동해,2023-01-04 11:00,4.4,,3.2,14,1,,,0
106,동해,2023-01-04 12:00,5.1,,1.9,12,1,,,0
106,동해,2023-01-04 13:00,6,,2.6,12,1,,,0
106,동해,2023-01-04 14:00,7.1,,1.6,12,1,,,0
106,동해,2023-01-04 15:00,6.8,,2.5,11,1,,,0
106,동해,2023-01-04 16:00,6.3,,1.1,11,1,,,0
106,동해,2023-01-04 17:00,4.5,,1.4,14,.5,,,0
106,동해,2023-01-04 18:00,3.7,,.5,15,0,,,0
106,동해,2023-01-04 19:00,3.2,,1.8,19,,,,0
106,동해,2023-01-04 20:00,2.9,,.2,21,,,,0
106,동해,2023-01-04 21:00,1.3,,.6,26,,,,0
106,동해,2023-01-04 22:00,2.5,,2,25,,,,0
106,동해,2023-01-04 23:00,2.2,,1.2,27,,,,0
106,동해,2023-01-05 00:00,2.7,,2.7,25,,,,0
106,동해,2023-01-05 01:00,2.8,,1.9,25,,,,1
106,동해,2023-01-05 02:00,1.5,,1,30,,,,0
106,동해,2023-01-05 03:00,1.5,,2.1,32,,,,1
106,동해,2023-01-05 04:00,2.3,,3.5,30,,,,2
106,동해,2023-01-05 05:00,2.2,,4.3,29,,,,1
106,동해,2023-01-05 06:00,1.9,,2.7,30,,,,0
106,동해,2023-01-05 07:00,2.5,,3.4,30,,,,0
106,동해,2023-01-05 08:00,2.4,,3.3,31,.1,,,0
106,동해,2023-01-05 09:00,3.7,,2.3,30,1,,,1
106,동해,2023-01-05 10:00,4.9,,3.4,27,1,,,0
106,동해,2023-01-05 11:00,6.1,,2.7,24,1,,,0
106,동해,2023-01-05 12:00,6.8,,3.4,22,1,,,0
106,동해,2023-01-05 13:00,7.4,,3.7,21,1,,,0
106,동해,2023-01-05 14:00,8.4,,1.6,20,1,,,0
106,동해,2023-01-05 15:00,8.1,,3,20,1,,,0
106,동해,2023-01-05 16:00,7.3,,4.3,22,1,,,0
106,동해,2023-01-05 17:00,6,,2.9,25,.5,,,0
106,동해,2023-01-05 18:00,5.2,,2.3,27,0,,,3
106,동해,2023-01-05 19:00,4.5,,1.6,31,,,,0
106,동해,2023-01-05 20:00,4.1,,1.8,32,,,,5
106,동해,2023-01-05 21:00,3.2,,.5,36,,,,6
106,동해,2023-01-05 22:00,3,,1.6,36,,,,3
106,동해,2023-01-05 23:00,1.3,,.6,43,,,,5
106,동해,2023-01-06 00:00,.9,,1.3,44,,,,4
106,동해,2023-01-06 01:00,.6,,.9,42,,,,5
106,동해,2023-01-06 02:00,1.1,,1.6,40,,,,4
